dataset,model,n_attacks,struct_attrs,embed,n_cols,feat_attr,min_matching_syns,gt_baseline,risk_value,risk_ci_lwr,risk_ci_upr
ego-facebook,edge,500,[],False,5,True,5,True,0.996,0.992,1.0
ego-facebook,ggsd,500,[],False,5,True,5,False,0.0,0.0,0.0047
ego-facebook,grum,500,[],False,5,True,5,True,0.0693,0.0369,0.1017
ego-facebook,edge,500,[],False,6,True,1,True,0.996,0.992,1.0
ego-facebook,ggsd,500,[],False,6,True,1,True,0.0,0.0,0.0186
ego-facebook,grum,500,[],False,6,True,1,True,0.0579,0.0252,0.0905
ego-facebook,edge,500,[],False,6,True,2,True,0.996,0.9921,1.0
ego-facebook,ggsd,500,[],False,6,True,2,False,0.0,0.0,0.0
ego-facebook,grum,500,[],False,6,True,2,True,0.1069,0.0716,0.1422
ego-facebook,edge,500,[],False,6,True,3,True,0.996,0.992,1.0
ego-facebook,ggsd,500,[],False,6,True,3,True,0.0,0.0,0.0009
ego-facebook,grum,500,[],False,6,True,3,True,0.0694,0.0361,0.1028
ego-facebook,edge,500,[],False,6,True,4,True,0.996,0.992,1.0
ego-facebook,ggsd,500,[],False,6,True,4,True,0.0,0.0,0.0183
ego-facebook,grum,500,[],False,6,True,4,True,0.0887,0.0534,0.1239
ego-facebook,edge,500,[],False,6,True,5,True,0.996,0.9921,1.0
ego-facebook,ggsd,500,[],False,6,True,5,True,0.0,0.0,0.0057
ego-facebook,grum,500,[],False,6,True,5,True,0.1161,0.0773,0.1548
ego-facebook,edge,500,[],False,7,True,1,True,0.996,0.9921,1.0
ego-facebook,ggsd,500,[],False,7,True,1,False,0.0,0.0,0.0019
ego-facebook,grum,500,[],False,7,True,1,True,0.097,0.0612,0.1328
ego-facebook,edge,500,[],False,7,True,2,True,0.9961,0.9921,1.0
ego-facebook,ggsd,500,[],False,7,True,2,True,0.0,0.0,0.0052
ego-facebook,grum,500,[],False,7,True,2,True,0.0839,0.0498,0.1179
ego-facebook,edge,500,[],False,7,True,3,True,0.996,0.9921,1.0
ego-facebook,ggsd,500,[],False,7,True,3,True,0.0,0.0,0.0125
ego-facebook,grum,500,[],False,7,True,3,True,0.1172,0.0812,0.1533
ego-facebook,edge,500,[],False,7,True,4,True,0.9961,0.9921,1.0
ego-facebook,ggsd,500,[],False,7,True,4,True,0.0,0.0,0.0135
ego-facebook,grum,500,[],False,7,True,4,True,0.1447,0.1066,0.1829
ego-facebook,edge,500,[],False,7,True,5,True,0.9961,0.9921,1.0
ego-facebook,ggsd,500,[],False,7,True,5,True,0.0,0.0,0.0081
ego-facebook,grum,500,[],False,7,True,5,True,0.1346,0.0967,0.1725
ego-facebook,edge,500,[],False,8,True,1,True,0.9961,0.9922,1.0
ego-facebook,ggsd,500,[],False,8,True,1,True,0.0,0.0,0.005
ego-facebook,grum,500,[],False,8,True,1,True,0.1066,0.07,0.1433
ego-facebook,edge,500,[],False,8,True,2,True,0.996,0.9921,1.0
ego-facebook,ggsd,500,[],False,8,True,2,True,0.0,0.0,0.0193
ego-facebook,grum,500,[],False,8,True,2,True,0.0647,0.0306,0.0987
ego-facebook,edge,500,[],False,8,True,3,True,0.9961,0.9921,1.0
ego-facebook,ggsd,500,[],False,8,True,3,True,0.0,0.0,0.0162
ego-facebook,grum,500,[],False,8,True,3,True,0.124,0.088,0.16
ego-facebook,edge,500,[],False,8,True,4,True,0.9961,0.9921,1.0
ego-facebook,ggsd,500,[],False,8,True,4,True,0.0,0.0,0.0193
ego-facebook,grum,500,[],False,8,True,4,True,0.1284,0.0901,0.1667
ego-facebook,edge,500,[],False,8,True,5,True,0.9961,0.9921,1.0
ego-facebook,ggsd,500,[],False,8,True,5,True,0.0,0.0,0.0224
ego-facebook,grum,500,[],False,8,True,5,True,0.1534,0.1137,0.1932
ego-facebook,edge,500,[],False,9,True,1,True,0.9961,0.9921,1.0
ego-facebook,ggsd,500,[],False,9,True,1,True,0.0038,0.0,0.0302
ego-facebook,grum,500,[],False,9,True,1,True,0.1371,0.0984,0.1759
ego-facebook,edge,500,[],False,9,True,2,True,0.9961,0.9921,1.0
ego-facebook,ggsd,500,[],False,9,True,2,True,0.0,0.0,0.0195
ego-facebook,grum,500,[],False,9,True,2,True,0.1324,0.0955,0.1694
ego-facebook,edge,500,[],False,9,True,3,True,0.9961,0.9921,1.0
ego-facebook,ggsd,500,[],False,9,True,3,True,0.0046,0.0,0.0315
ego-facebook,grum,500,[],False,9,True,3,True,0.1767,0.1359,0.2176
ego-facebook,edge,500,[],False,9,True,4,True,0.9961,0.9921,1.0
ego-facebook,ggsd,500,[],False,9,True,4,True,0.0021,0.0,0.0288
ego-facebook,grum,500,[],False,9,True,4,True,0.1136,0.0766,0.1506
ego-facebook,edge,500,[],False,9,True,5,True,0.9961,0.9922,1.0
ego-facebook,ggsd,500,[],False,9,True,5,True,0.0017,0.0,0.0279
ego-facebook,grum,500,[],False,9,True,5,True,0.1664,0.1269,0.206
ego-facebook,edge,500,[],False,10,True,1,True,0.9961,0.9922,1.0
ego-facebook,ggsd,500,[],False,10,True,1,True,0.0,0.0,0.0203
ego-facebook,grum,500,[],False,10,True,1,True,0.1167,0.0801,0.1532
ego-facebook,edge,500,[],False,10,True,2,True,0.9961,0.9922,1.0
ego-facebook,ggsd,500,[],False,10,True,2,True,0.0096,0.0,0.0369
ego-facebook,grum,500,[],False,10,True,2,True,0.1813,0.141,0.2216
ego-facebook,edge,500,[],False,10,True,3,True,0.9961,0.9922,1.0
ego-facebook,ggsd,500,[],False,10,True,3,True,0.0008,0.0,0.0283
ego-facebook,grum,500,[],False,10,True,3,True,0.1768,0.1367,0.2169
ego-facebook,edge,500,[],False,10,True,4,True,0.9961,0.9921,1.0
ego-facebook,ggsd,500,[],False,10,True,4,True,0.0129,0.0,0.0408
ego-facebook,grum,500,[],False,10,True,4,True,0.1944,0.154,0.2349
ego-facebook,edge,500,[],False,10,True,5,True,0.9961,0.9922,1.0
ego-facebook,ggsd,500,[],False,10,True,5,True,0.0217,0.0,0.0487
ego-facebook,grum,500,[],False,10,True,5,True,0.1552,0.1168,0.1935
ego-facebook,edge,500,[],False,11,True,1,True,0.9961,0.9922,1.0
ego-facebook,ggsd,500,[],False,11,True,1,True,0.0083,0.0,0.0369
ego-facebook,grum,500,[],False,11,True,1,True,0.1496,0.1113,0.1879
ego-facebook,edge,500,[],False,11,True,2,True,0.9961,0.9922,1.0
ego-facebook,ggsd,500,[],False,11,True,2,True,0.0237,0.0,0.0527
ego-facebook,grum,500,[],False,11,True,2,True,0.1896,0.1493,0.2299
ego-facebook,edge,500,[],False,11,True,3,True,0.9961,0.9922,1.0
ego-facebook,ggsd,500,[],False,11,True,3,True,0.0271,0.0,0.0577
ego-facebook,grum,500,[],False,11,True,3,True,0.1696,0.13,0.2091
ego-facebook,edge,500,[],False,11,True,4,True,0.9961,0.9922,1.0
ego-facebook,ggsd,500,[],False,11,True,4,True,0.0029,0.0,0.0301
ego-facebook,grum,500,[],False,11,True,4,True,0.1771,0.1367,0.2176
ego-facebook,edge,500,[],False,11,True,5,True,0.9961,0.9921,1.0
ego-facebook,ggsd,500,[],False,11,True,5,True,0.0217,0.0,0.0504
ego-facebook,grum,500,[],False,11,True,5,True,0.1989,0.158,0.2399
ego-facebook,edge,500,[],False,12,True,1,True,0.9961,0.9922,1.0
ego-facebook,ggsd,500,[],False,12,True,1,True,0.0246,0.0,0.054
ego-facebook,grum,500,[],False,12,True,1,True,0.147,0.1096,0.1844
ego-facebook,edge,500,[],False,12,True,2,True,0.9961,0.9922,1.0
ego-facebook,ggsd,500,[],False,12,True,2,True,0.0179,0.0,0.0473
ego-facebook,grum,500,[],False,12,True,2,True,0.1965,0.156,0.237
ego-facebook,edge,500,[],False,12,True,3,True,0.9961,0.9922,1.0
ego-facebook,ggsd,500,[],False,12,True,3,True,0.005,0.0,0.0319
ego-facebook,grum,500,[],False,12,True,3,True,0.1693,0.1305,0.2081
ego-facebook,edge,500,[],False,12,True,4,True,0.9961,0.9922,1.0
ego-facebook,ggsd,500,[],False,12,True,4,True,0.0275,0.0,0.0575
ego-facebook,grum,500,[],False,12,True,4,True,0.1844,0.1446,0.2243
ego-facebook,edge,500,[],False,12,True,5,True,0.9961,0.9922,1.0
ego-facebook,ggsd,500,[],False,12,True,5,True,0.0,0.0,0.0276
ego-facebook,grum,500,[],False,12,True,5,True,0.1968,0.1567,0.2369
ego-facebook,edge,500,[],False,13,True,1,True,0.9961,0.9922,1.0
ego-facebook,ggsd,500,[],False,13,True,1,True,0.0026,0.0,0.0286
ego-facebook,grum,500,[],False,13,True,1,True,0.1865,0.1473,0.2257
ego-facebook,edge,500,[],False,13,True,2,True,0.9961,0.9922,1.0
ego-facebook,ggsd,500,[],False,13,True,2,True,0.0116,0.0,0.0403
ego-facebook,grum,500,[],False,13,True,2,True,0.2072,0.1656,0.2489
ego-facebook,edge,500,[],False,13,True,3,True,0.9961,0.9922,1.0
ego-facebook,ggsd,500,[],False,13,True,3,True,0.0296,0.0004,0.0587
ego-facebook,grum,500,[],False,13,True,3,True,0.2423,0.2006,0.284
ego-facebook,edge,500,[],False,13,True,4,True,0.9961,0.9922,1.0
ego-facebook,ggsd,500,[],False,13,True,4,True,0.0162,0.0,0.0458
ego-facebook,grum,500,[],False,13,True,4,True,0.238,0.1961,0.2799
ego-facebook,edge,500,[],False,13,True,5,True,0.9961,0.9922,1.0
ego-facebook,ggsd,500,[],False,13,True,5,True,0.0195,0.0,0.0498
ego-facebook,grum,500,[],False,13,True,5,True,0.2447,0.2029,0.2865
ego-facebook,edge,500,[],False,14,True,1,True,0.9961,0.9922,1.0
ego-facebook,ggsd,500,[],False,14,True,1,True,0.0233,0.0,0.0535
ego-facebook,grum,500,[],False,14,True,1,True,0.2331,0.1916,0.2747
ego-facebook,edge,500,[],False,14,True,2,True,0.9961,0.9922,1.0
ego-facebook,ggsd,500,[],False,14,True,2,True,0.0166,0.0,0.0457
ego-facebook,grum,500,[],False,14,True,2,True,0.2143,0.1732,0.2555
ego-facebook,edge,500,[],False,14,True,3,True,0.9961,0.9922,1.0
ego-facebook,ggsd,500,[],False,14,True,3,True,0.0233,0.0,0.0529
ego-facebook,grum,500,[],False,14,True,3,True,0.2179,0.1776,0.2582
ego-facebook,edge,500,[],False,14,True,4,True,0.9961,0.9922,1.0
ego-facebook,ggsd,500,[],False,14,True,4,True,0.0466,0.0153,0.0779
ego-facebook,grum,500,[],False,14,True,4,True,0.2392,0.1968,0.2817
ego-facebook,edge,500,[],False,14,True,5,True,0.9961,0.9922,1.0
ego-facebook,ggsd,500,[],False,14,True,5,True,0.0475,0.0153,0.0797
ego-facebook,grum,500,[],False,14,True,5,True,0.3001,0.2565,0.3438
ego-facebook,edge,500,[],False,15,True,1,True,0.9961,0.9922,1.0
ego-facebook,ggsd,500,[],False,15,True,1,True,0.0233,0.0,0.0535
ego-facebook,grum,500,[],False,15,True,1,True,0.206,0.166,0.246
ego-facebook,edge,500,[],False,15,True,2,True,0.9961,0.9922,1.0
ego-facebook,ggsd,500,[],False,15,True,2,True,0.0354,0.0045,0.0663
ego-facebook,grum,500,[],False,15,True,2,True,0.244,0.2022,0.2859
ego-facebook,edge,500,[],False,15,True,3,True,0.9961,0.9922,1.0
ego-facebook,ggsd,500,[],False,15,True,3,True,0.0221,0.0,0.0513
ego-facebook,grum,500,[],False,15,True,3,True,0.2576,0.2155,0.2998
ego-facebook,edge,500,[],False,15,True,4,True,0.9961,0.9922,1.0
ego-facebook,ggsd,500,[],False,15,True,4,True,0.0514,0.0173,0.0855
ego-facebook,grum,500,[],False,15,True,4,True,0.2744,0.2321,0.3168
ego-facebook,edge,500,[],False,15,True,5,True,0.9961,0.9922,1.0
ego-facebook,ggsd,500,[],False,15,True,5,True,0.0321,0.0,0.0651
ego-facebook,grum,500,[],False,15,True,5,True,0.2304,0.1889,0.2719
ego-facebook,edge,500,[],False,16,True,1,True,0.9961,0.9922,1.0
ego-facebook,ggsd,500,[],False,16,True,1,True,0.0605,0.0293,0.0917
ego-facebook,grum,500,[],False,16,True,1,True,0.2461,0.2049,0.2874
ego-facebook,edge,500,[],False,16,True,2,True,0.9961,0.9923,1.0
ego-facebook,ggsd,500,[],False,16,True,2,True,0.0238,0.0,0.051
ego-facebook,grum,500,[],False,16,True,2,True,0.2427,0.2017,0.2837
ego-facebook,edge,500,[],False,16,True,3,True,0.9961,0.9923,1.0
ego-facebook,ggsd,500,[],False,16,True,3,True,0.05,0.0177,0.0823
ego-facebook,grum,500,[],False,16,True,3,True,0.2587,0.217,0.3004
ego-facebook,edge,500,[],False,16,True,4,True,0.9961,0.9922,1.0
ego-facebook,ggsd,500,[],False,16,True,4,True,0.0707,0.0371,0.1044
ego-facebook,grum,500,[],False,16,True,4,True,0.2449,0.2042,0.2856
ego-facebook,edge,500,[],False,16,True,5,True,0.9961,0.9922,1.0
ego-facebook,ggsd,500,[],False,16,True,5,True,0.0434,0.0111,0.0757
ego-facebook,grum,500,[],False,16,True,5,True,0.2666,0.2245,0.3086
ego-facebook,edge,500,[],False,17,True,1,True,0.9961,0.9922,1.0
ego-facebook,ggsd,500,[],False,17,True,1,True,0.0511,0.02,0.0822
ego-facebook,grum,500,[],False,17,True,1,True,0.231,0.1909,0.271
ego-facebook,edge,500,[],False,17,True,2,True,0.9961,0.9922,1.0
ego-facebook,ggsd,500,[],False,17,True,2,True,0.0775,0.0429,0.112
ego-facebook,grum,500,[],False,17,True,2,True,0.2477,0.2067,0.2888
ego-facebook,edge,500,[],False,17,True,3,True,0.9961,0.9922,1.0
ego-facebook,ggsd,500,[],False,17,True,3,True,0.0403,0.0112,0.0694
ego-facebook,grum,500,[],False,17,True,3,True,0.2248,0.1854,0.2642
ego-facebook,edge,500,[],False,17,True,4,True,0.9961,0.9923,1.0
ego-facebook,ggsd,500,[],False,17,True,4,True,0.0637,0.0305,0.0969
ego-facebook,grum,500,[],False,17,True,4,True,0.2651,0.2233,0.307
ego-facebook,edge,500,[],False,17,True,5,True,0.9961,0.9922,1.0
ego-facebook,ggsd,500,[],False,17,True,5,True,0.0748,0.0413,0.1083
ego-facebook,grum,500,[],False,17,True,5,True,0.2709,0.2294,0.3124
ego-facebook,edge,500,[],False,18,True,1,True,0.9961,0.9922,1.0
ego-facebook,ggsd,500,[],False,18,True,1,True,0.0613,0.0302,0.0924
ego-facebook,grum,500,[],False,18,True,1,True,0.2738,0.2323,0.3153
ego-facebook,edge,500,[],False,18,True,2,True,0.9961,0.9923,1.0
ego-facebook,ggsd,500,[],False,18,True,2,True,0.0474,0.0167,0.078
ego-facebook,grum,500,[],False,18,True,2,True,0.2293,0.1893,0.2692
ego-facebook,edge,500,[],False,18,True,3,True,0.9961,0.9923,1.0
ego-facebook,ggsd,500,[],False,18,True,3,True,0.0658,0.0324,0.0992
ego-facebook,grum,500,[],False,18,True,3,True,0.2595,0.2182,0.3007
ego-facebook,edge,500,[],False,18,True,4,True,0.9961,0.9922,1.0
ego-facebook,ggsd,500,[],False,18,True,4,True,0.0528,0.021,0.0847
ego-facebook,grum,500,[],False,18,True,4,True,0.2363,0.1963,0.2764
ego-facebook,edge,500,[],False,18,True,5,True,0.9961,0.9923,1.0
ego-facebook,ggsd,500,[],False,18,True,5,True,0.069,0.036,0.1019
ego-facebook,grum,500,[],False,18,True,5,True,0.2668,0.2255,0.3081
ego-facebook,edge,500,[],False,19,True,1,True,0.9961,0.9923,1.0
ego-facebook,ggsd,500,[],False,19,True,1,True,0.0747,0.0436,0.1058
ego-facebook,grum,500,[],False,19,True,1,True,0.2446,0.2038,0.2853
ego-facebook,edge,500,[],False,19,True,2,True,0.9961,0.9923,1.0
ego-facebook,ggsd,500,[],False,19,True,2,True,0.0757,0.0437,0.1076
ego-facebook,grum,500,[],False,19,True,2,True,0.2504,0.2093,0.2914
ego-facebook,edge,500,[],False,19,True,3,True,0.9961,0.9923,1.0
ego-facebook,ggsd,500,[],False,19,True,3,True,0.0866,0.0529,0.1203
ego-facebook,grum,500,[],False,19,True,3,True,0.3094,0.267,0.3519
ego-facebook,edge,500,[],False,19,True,4,True,0.9961,0.9923,1.0
ego-facebook,ggsd,500,[],False,19,True,4,True,0.0539,0.0233,0.0846
ego-facebook,grum,500,[],False,19,True,4,True,0.3409,0.2978,0.3841
ego-facebook,edge,500,[],False,19,True,5,True,0.9961,0.9922,1.0
ego-facebook,ggsd,500,[],False,19,True,5,True,0.0907,0.0567,0.1247
ego-facebook,grum,500,[],False,19,True,5,True,0.3275,0.2839,0.3711
ego-facebook,edge,500,[],False,20,True,1,True,0.9961,0.9923,1.0
ego-facebook,ggsd,500,[],False,20,True,1,True,0.1055,0.0717,0.1392
ego-facebook,grum,500,[],False,20,True,1,True,0.2271,0.1877,0.2666
ego-facebook,edge,500,[],False,20,True,2,True,0.9961,0.9923,1.0
ego-facebook,ggsd,500,[],False,20,True,2,True,0.0858,0.0535,0.1182
ego-facebook,grum,500,[],False,20,True,2,True,0.2659,0.2244,0.3073
ego-facebook,edge,500,[],False,20,True,3,True,0.9961,0.9923,1.0
ego-facebook,ggsd,500,[],False,20,True,3,True,0.0756,0.0441,0.107
ego-facebook,grum,500,[],False,20,True,3,True,0.3066,0.264,0.3491
ego-facebook,edge,500,[],False,20,True,4,True,0.9961,0.9923,1.0
ego-facebook,ggsd,500,[],False,20,True,4,True,0.0869,0.0537,0.12
ego-facebook,grum,500,[],False,20,True,4,True,0.273,0.2318,0.3142
ego-facebook,edge,500,[],False,20,True,5,True,0.9961,0.9923,1.0
ego-facebook,ggsd,500,[],False,20,True,5,True,0.0858,0.0506,0.121
ego-facebook,grum,500,[],False,20,True,5,True,0.3045,0.2621,0.347
ego-facebook,edge,500,[],False,21,True,1,True,0.9961,0.9923,1.0
ego-facebook,ggsd,500,[],False,21,True,1,True,0.1094,0.0748,0.1439
ego-facebook,grum,500,[],False,21,True,1,True,0.2651,0.2238,0.3063
ego-facebook,edge,500,[],False,21,True,2,True,0.9961,0.9923,1.0
ego-facebook,ggsd,500,[],False,21,True,2,True,0.0863,0.0536,0.1191
ego-facebook,grum,500,[],False,21,True,2,True,0.235,0.1948,0.2753
ego-facebook,edge,500,[],False,21,True,3,True,0.9961,0.9923,1.0
ego-facebook,ggsd,500,[],False,21,True,3,True,0.1004,0.0674,0.1335
ego-facebook,grum,500,[],False,21,True,3,True,0.2906,0.2483,0.3329
ego-facebook,edge,500,[],False,21,True,4,True,0.9961,0.9923,1.0
ego-facebook,ggsd,500,[],False,21,True,4,True,0.0874,0.0538,0.1209
ego-facebook,grum,500,[],False,21,True,4,True,0.2759,0.2347,0.3171
ego-facebook,edge,500,[],False,21,True,5,True,0.9961,0.9923,1.0
ego-facebook,ggsd,500,[],False,21,True,5,True,0.1047,0.0699,0.1394
ego-facebook,grum,500,[],False,21,True,5,True,0.2939,0.2527,0.3351
ego-facebook,edge,500,[],False,22,True,1,True,0.9961,0.9923,1.0
ego-facebook,ggsd,500,[],False,22,True,1,True,0.1073,0.0729,0.1417
ego-facebook,grum,500,[],False,22,True,1,True,0.275,0.2337,0.3163
ego-facebook,edge,500,[],False,22,True,2,True,0.9961,0.9923,1.0
ego-facebook,ggsd,500,[],False,22,True,2,True,0.1045,0.0711,0.138
ego-facebook,grum,500,[],False,22,True,2,True,0.2677,0.2265,0.3089
ego-facebook,edge,500,[],False,22,True,3,True,0.9961,0.9923,1.0
ego-facebook,ggsd,500,[],False,22,True,3,True,0.0851,0.0526,0.1175
ego-facebook,grum,500,[],False,22,True,3,True,0.2754,0.2331,0.3176
ego-facebook,edge,500,[],False,22,True,4,True,0.9961,0.9923,1.0
ego-facebook,ggsd,500,[],False,22,True,4,True,0.1007,0.0658,0.1356
ego-facebook,grum,500,[],False,22,True,4,True,0.3358,0.2926,0.379
ego-facebook,edge,500,[],False,22,True,5,True,0.9962,0.9923,1.0
ego-facebook,ggsd,500,[],False,22,True,5,True,0.0991,0.0653,0.1328
ego-facebook,grum,500,[],False,22,True,5,True,0.3048,0.2627,0.3469
ego-facebook,edge,500,[],False,23,True,1,True,0.9961,0.9923,1.0
ego-facebook,ggsd,500,[],False,23,True,1,True,0.1049,0.0716,0.1383
ego-facebook,grum,500,[],False,23,True,1,True,0.2669,0.2259,0.3079
ego-facebook,edge,500,[],False,23,True,2,True,0.9962,0.9923,1.0
ego-facebook,ggsd,500,[],False,23,True,2,True,0.1172,0.0838,0.1506
ego-facebook,grum,500,[],False,23,True,2,True,0.2618,0.2211,0.3024
ego-facebook,edge,500,[],False,23,True,3,True,0.9961,0.9923,1.0
ego-facebook,ggsd,500,[],False,23,True,3,True,0.1341,0.0978,0.1704
ego-facebook,grum,500,[],False,23,True,3,True,0.27,0.2288,0.3113
ego-facebook,edge,500,[],False,23,True,4,True,0.9961,0.9923,1.0
ego-facebook,ggsd,500,[],False,23,True,4,True,0.1003,0.0677,0.1329
ego-facebook,grum,500,[],False,23,True,4,True,0.3089,0.2669,0.3508
ego-facebook,edge,500,[],False,23,True,5,True,0.9961,0.9923,1.0
ego-facebook,ggsd,500,[],False,23,True,5,True,0.1335,0.0968,0.1703
ego-facebook,grum,500,[],False,23,True,5,True,0.3152,0.2728,0.3576
ego-facebook,edge,500,[],False,24,True,1,True,0.9961,0.9923,1.0
ego-facebook,ggsd,500,[],False,24,True,1,True,0.0956,0.0614,0.1299
ego-facebook,grum,500,[],False,24,True,1,True,0.2647,0.2241,0.3053
ego-facebook,edge,500,[],False,24,True,2,True,0.9961,0.9923,1.0
ego-facebook,ggsd,500,[],False,24,True,2,True,0.1589,0.1218,0.1959
ego-facebook,grum,500,[],False,24,True,2,True,0.285,0.2439,0.326
ego-facebook,edge,500,[],False,24,True,3,True,0.9962,0.9923,1.0
ego-facebook,ggsd,500,[],False,24,True,3,True,0.1465,0.111,0.1819
ego-facebook,grum,500,[],False,24,True,3,True,0.3169,0.2748,0.3591
ego-facebook,edge,500,[],False,24,True,4,True,0.9961,0.9923,1.0
ego-facebook,ggsd,500,[],False,24,True,4,True,0.1736,0.1361,0.2111
ego-facebook,grum,500,[],False,24,True,4,True,0.323,0.2806,0.3653
ego-facebook,edge,500,[],False,24,True,5,True,0.9961,0.9923,1.0
