dataset,model,n_attacks,struct_attrs,n_cols,feat_attr,min_matching_syns,gt_baseline,risk_value,risk_ci_lwr,risk_ci_upr
ego-facebook,ggsd,500,all,5,True,5,True,0.0076,0.0,0.0187
ego-facebook,grum,500,all,5,True,5,True,0.0673,0.0434,0.0913
ego-twitter,edge,500,all,1,True,1,True,0.0284,0.0089,0.048
ego-twitter,ggsd,500,all,1,True,1,False,0.0021,0.0,0.0107
ego-twitter,grum,500,all,1,True,1,True,0.0337,0.0121,0.0552
ego-twitter,edge,500,all,1,True,2,True,0.186,0.146,0.2261
ego-twitter,ggsd,500,all,1,True,2,True,0.0596,0.0267,0.0924
ego-twitter,grum,500,all,1,True,2,True,0.1987,0.156,0.2415
ego-twitter,edge,500,all,1,True,3,True,0.1773,0.1365,0.2181
ego-twitter,ggsd,500,all,1,True,3,True,0.0824,0.0459,0.119
ego-twitter,grum,500,all,1,True,3,True,0.1887,0.1461,0.2313
ego-twitter,edge,500,all,1,True,4,True,0.1624,0.1235,0.2014
ego-twitter,ggsd,500,all,1,True,4,True,0.0677,0.0322,0.1032
ego-twitter,grum,500,all,1,True,4,True,0.1719,0.1315,0.2123
ego-twitter,edge,500,all,1,True,5,True,0.1287,0.088,0.1694
ego-twitter,ggsd,500,all,1,True,5,True,0.0782,0.042,0.1145
ego-twitter,grum,500,all,1,True,5,True,0.2113,0.1698,0.2528
ego-twitter,edge,500,all,2,True,1,True,0.0297,0.0,0.061
ego-twitter,ggsd,500,all,2,True,1,False,0.0,0.0,0.0054
ego-twitter,grum,500,all,2,True,1,True,0.0,0.0,0.019
ego-twitter,edge,500,all,2,True,2,True,0.0282,0.0,0.0618
ego-twitter,ggsd,500,all,2,True,2,False,0.002,0.0,0.0087
ego-twitter,grum,500,all,2,True,2,True,0.0062,0.0,0.0316
ego-twitter,edge,500,all,2,True,3,True,0.029,0.0,0.062
ego-twitter,ggsd,500,all,2,True,3,False,0.0,0.0,0.0054
ego-twitter,grum,500,all,2,True,3,True,0.0139,0.0,0.0428
ego-twitter,edge,500,all,2,True,4,True,0.0434,0.0072,0.0796
ego-twitter,ggsd,500,all,2,True,4,False,0.0,0.0,0.0054
ego-twitter,grum,500,all,2,True,4,True,0.0266,0.0,0.0579
ego-twitter,edge,500,all,2,True,5,True,0.0679,0.032,0.1038
ego-twitter,ggsd,500,all,2,True,5,False,0.004,0.0,0.0117
ego-twitter,grum,500,all,2,True,5,True,0.0441,0.0089,0.0792
ego-twitter,edge,500,all,3,True,1,True,0.0448,0.0107,0.0789
ego-twitter,ggsd,500,all,3,True,1,False,0.002,0.0,0.0087
ego-twitter,grum,500,all,3,True,1,True,0.0007,0.0,0.0207
ego-twitter,edge,500,all,3,True,2,True,0.0393,0.0064,0.0722
ego-twitter,ggsd,500,all,3,True,2,False,0.002,0.0,0.0087
ego-twitter,grum,500,all,3,True,2,True,0.0268,0.0,0.0541
ego-twitter,edge,500,all,3,True,3,True,0.0885,0.0519,0.1251
ego-twitter,ggsd,500,all,3,True,3,False,0.004,0.0,0.0117
ego-twitter,grum,500,all,3,True,3,True,0.017,0.0,0.0465
ego-twitter,edge,500,all,3,True,4,True,0.0622,0.0278,0.0966
ego-twitter,ggsd,500,all,3,True,4,False,0.004,0.0,0.0117
ego-twitter,grum,500,all,3,True,4,True,0.0383,0.0052,0.0714
ego-twitter,edge,500,all,3,True,5,True,0.0704,0.0335,0.1073
ego-twitter,ggsd,500,all,3,True,5,False,0.0,0.0,0.0051
ego-twitter,grum,500,all,3,True,5,True,0.0765,0.0396,0.1135
ego-twitter,edge,500,all,4,True,1,True,0.0783,0.0439,0.1127
ego-twitter,ggsd,500,all,4,True,1,False,0.006,0.0,0.0146
ego-twitter,grum,500,all,4,True,1,True,0.0101,0.0,0.0341
ego-twitter,edge,500,all,4,True,2,True,0.1009,0.0622,0.1397
ego-twitter,ggsd,500,all,4,True,2,False,0.004,0.0,0.0117
ego-twitter,grum,500,all,4,True,2,True,0.0143,0.0,0.0395
ego-twitter,edge,500,all,4,True,3,True,0.0817,0.0464,0.117
ego-twitter,ggsd,500,all,4,True,3,False,0.01,0.0,0.0202
ego-twitter,grum,500,all,4,True,3,True,0.0344,0.0007,0.068
ego-twitter,edge,500,all,4,True,4,True,0.1089,0.073,0.1449
ego-twitter,ggsd,500,all,4,True,4,False,0.001,0.0,0.0082
ego-twitter,grum,500,all,4,True,4,True,0.0601,0.0259,0.0943
ego-twitter,edge,500,all,4,True,5,True,0.1044,0.0679,0.141
ego-twitter,ggsd,500,all,4,True,5,False,0.004,0.0,0.0117
ego-twitter,grum,500,all,4,True,5,True,0.0857,0.0505,0.1209
ego-twitter,edge,500,all,5,True,1,True,0.0861,0.0501,0.1222
ego-twitter,ggsd,500,all,5,True,1,False,0.004,0.0,0.0117
